Problem Level 1,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems,Shipping and delivery problems
Problem Level 2,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Buying,Buying,Buying,Buying,Buying,Buying,Buying,Buying,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Non delivery,Other,Other,Other,Other,Other,Other,Other,Other,Outside shipping,Outside shipping,Outside shipping,Outside shipping,Outside shipping,Outside shipping,Outside shipping,Outside shipping,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Selling,Shipping label,Shipping label,Shipping label,Shipping label,Shipping label,Shipping label,Shipping label,Shipping label,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating,Tracking not updating
Problem Level 3,Damaged in transit,Damaged in transit,Damaged in transit,Damaged in transit,Damaged in transit,Damaged in transit,Damaged in transit,Damaged in transit,Choosing shipment options,Choosing shipment options,Choosing shipment options,Choosing shipment options,Choosing shipment options,Choosing shipment options,Choosing shipment options,Choosing shipment options,Delayed arrival,Delayed arrival,Delayed arrival,Delayed arrival,Delayed arrival,Delayed arrival,Delayed arrival,Delayed arrival,Delivered not received,Delivered not received,Delivered not received,Delivered not received,Delivered not received,Delivered not received,Delivered not received,Delivered not received,Lost by PO,Lost by PO,Lost by PO,Lost by PO,Lost by PO,Lost by PO,Lost by PO,Lost by PO,Mix up by PO,Mix up by PO,Mix up by PO,Mix up by PO,Mix up by PO,Mix up by PO,Mix up by PO,Mix up by PO,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender,Returned to sender,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,Wrong address,Wrong address,Wrong address,Wrong address,Wrong address,Wrong address,Wrong address,Wrong address,,,,,,,,,,,,,,,,,Cancellation,Cancellation,Cancellation,Cancellation,Cancellation,Cancellation,Cancellation,Cancellation,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,Choosing/changing shipment options,,,,,,,,,Not scanned at PO,Not scanned at PO,Not scanned at PO,Not scanned at PO,Not scanned at PO,Not scanned at PO,Not scanned at PO,Not scanned at PO,Seller late to ship,Seller late to ship,Seller late to ship,Seller late to ship,Seller late to ship,Seller late to ship,Seller late to ship,Seller late to ship,Tracking stuck,Tracking stuck,Tracking stuck,Tracking stuck,Tracking stuck,Tracking stuck,Tracking stuck,Tracking stuck,Wrong shipping method,Wrong shipping method,Wrong shipping method,Wrong shipping method,Wrong shipping method,Wrong shipping method,Wrong shipping method,Wrong shipping method
Solved Local Month,Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %",Deflected tickets Count,Total Solved Tickets,Avg Replies per Ticket,Arf Avg,Ces Avg,Avg Pending Time In Minutes,Avg Solving Time In Minutes,"Deflection rate, %"
2022-02,219,9420,2.82,2.78,4.04,7096.42,11,2.32%,107,2701,1.79,2.49,4.33,1803.57,5,3.95%,23363,84290,1.36,2.25,4.15,7725.21,6,27.72%,12284,47325,1.7,2.2,4.17,6769.26,7,25.96%,1306,52325,2.75,2.06,4.2,13038.67,10,2.50%,4,1493,3.89,0,4.26,11560.81,17,0.28%,11531,82391,1.85,2.54,4.2,8536.79,8,14.00%,4,712,2.05,0,4.4,7490.55,8,0.56%,2867,7884,1.24,2.27,4.04,6736.09,7,36.36%,9962,43923,1.24,2.11,4.31,4980.09,5,22.68%,9,2748,2.06,2.72,4.19,3516.41,7,0.32%,1284,5569,1.13,2.15,4.1,2060.43,5,23.06%,299,7732,1.66,2.27,4.37,1236.1,4,3.87%,9193,25207,0.83,2.73,4.16,1593.64,4,36.47%,75,9471,2.48,2.2,4.26,6663.59,8,0.79%,15311,36953,0.82,2.4,3.94,3048.32,5,41.43%,4033,22479,1.27,2.52,4.51,4002.34,5,17.94%,45,9030,2.14,2.74,4.38,4794.69,8,0.50%
2022-03,343,8908,2.85,2.66,4.06,8233.62,11,3.86%,91,3508,1.9,2.5,4.23,1765.43,5,2.60%,28180,89837,1.21,2.21,4.09,8316.73,6,31.37%,7628,45092,2.11,2.41,4.22,7668,8,16.92%,1306,59238,3.19,2.26,4.21,13828.49,11,2.20%,9,1361,4.44,0,4,12682.1,17,0.65%,10642,84100,1.92,2.52,4,8844.79,8,12.65%,20,2205,2.29,0,4.63,8399.9,10,0.91%,2070,7307,1.55,2.16,3.89,7338.61,7,28.33%,10148,45095,1.35,2.14,4.14,4842.26,5,22.50%,4,2741,1.89,0,3.86,2955.65,7,0.15%,1908,6913,1.06,2.37,4.2,2085.42,5,27.60%,336,7511,1.66,2.41,4.4,1235.02,4,4.48%,12159,34039,0.72,2.63,4.35,1458.32,3,35.72%,74,10917,2.55,2.73,4.07,6770.47,7,0.68%,17570,46356,0.83,2.56,3.92,3015.47,4,37.90%,3851,21056,1.25,2.67,4.71,4350.04,4,18.29%,21,10654,2.35,2.14,4.52,5079.26,8,0.20%
2022-04,335,8620,2.68,2.56,4.43,6682.4,10,3.89%,36,2989,1.97,2.24,4.31,1883.67,6,1.21%,31792,102614,1.11,2.26,3.76,7922.43,5,30.98%,9799,51592,1.82,2.31,4.34,7275.15,6,18.99%,1341,50273,3.01,2.3,4.48,14462.61,11,2.67%,5,1707,3.98,2.99,4,11820.64,16,0.30%,9425,79713,1.96,2.4,4.3,7902.09,7,11.82%,20,3129,2.39,0,4.29,9573.57,11,0.64%,2592,8283,1.32,2.29,3.88,6514.11,6,31.30%,8484,66884,1.23,2.04,4.25,4664.42,4,12.68%,4,2757,1.81,2.29,3.89,2749.51,7,0.14%,2330,7233,0.95,2.37,4.36,1799.15,5,32.22%,376,6332,1.57,2.34,4.6,1360.69,4,5.94%,8457,24187,0.79,2.77,4.48,1388.06,3,34.97%,76,10514,2.4,2.15,4.13,7009.79,7,0.72%,17986,47055,0.78,2.43,4.17,2642.21,4,38.22%,5675,30237,1.07,2.67,4.48,4132.68,3,18.77%,24,10138,2.2,2.61,4.25,4962.96,7,0.24%
2022-05,318,8125,2.4,2.61,4.12,7314.66,10,3.91%,40,2882,1.73,2.04,4.12,1647.97,5,1.38%,40887,131434,1.07,2.14,3.71,8116.93,5,31.11%,11190,67686,1.65,2.33,4.09,6866.22,6,16.53%,1439,55154,3.03,2.19,4.25,15784.22,11,2.61%,8,1766,3.36,0,4.18,10139.68,16,0.44%,9524,91859,1.8,2.43,4.22,8000.07,7,10.37%,40,9605,2,0,4.61,7770.52,9,0.42%,2420,8818,1.43,2.32,3.83,7336.55,7,27.44%,9072,57655,1.38,2.1,4,4640.27,5,15.74%,2,2824,1.82,1.01,3.78,2929.49,7,0.07%,2689,7975,0.8,2.21,4.14,1801.63,4,33.72%,505,6656,1.41,2.53,4.22,1101.4,4,7.59%,11623,32748,0.72,2.56,4.01,1626.71,3,35.49%,109,10049,2.24,2.35,4.03,6860.02,7,1.09%,22175,52862,0.74,2.57,3.86,2480.02,4,41.95%,3662,18709,0.93,2.61,4.32,3866.05,3,19.57%,44,11709,1.94,1.81,4.39,4293.08,6,0.37%
2022-06,297,6234,2.45,2.46,4.18,8564.32,10,4.76%,36,2666,1.65,2.49,4.21,1631.64,4,1.35%,35343,128646,1.14,2.08,3.98,7821.83,4,27.47%,11762,81659,1.64,2.3,3.85,6613.39,5,14.40%,2223,55920,2.78,2.08,4.32,16199,10,3.98%,16,1939,3.29,0.96,4.15,12639.61,14,0.84%,16344,97457,1.6,2.51,4.1,7307.51,6,16.77%,682,52833,1.19,2.82,4.23,4505.57,4,1.29%,2591,9003,1.3,2.11,3.93,7554.26,6,28.78%,11392,52755,1.23,2.12,4.09,3752.7,4,21.59%,7,1921,1.73,1.99,3.87,2940.73,6,0.35%,2392,7121,0.77,2.09,4.36,1699.72,4,33.59%,586,7735,1.34,2.25,4.12,1363.47,3,7.57%,8648,25623,0.74,2.62,4.16,1398.82,3,33.75%,65,9427,2.17,2.39,3.78,6812.09,6,0.69%,20626,51453,0.65,2.35,4.03,2574.26,3,40.09%,7641,30578,0.89,2.67,4.69,2844.54,3,24.99%,29,12296,1.62,1.57,4.07,3942.33,5,0.23%
2022-07,159,5471,2.92,2.19,3.97,10137.83,11,2.91%,67,2416,1.76,2.07,3.94,1593.86,5,2.78%,31192,105309,1.21,2.1,3.72,10239.58,5,29.62%,10446,70562,1.82,2.22,3.84,7059.79,6,14.80%,1320,57840,2.94,2.14,4.35,15568.72,10,2.28%,6,1924,3.57,0,3.95,12031.73,15,0.30%,9939,82367,1.75,2.41,3.91,8275.22,7,12.07%,133,61060,1.39,1.8,4.19,4260.81,5,0.22%,2607,8676,1.25,2.07,3.84,8201.05,6,30.05%,9224,45943,1.25,1.96,4.18,3696.65,4,20.08%,3,1934,1.86,1.53,3.77,2221.69,8,0.16%,3158,7537,0.68,2.17,4.21,1942.16,4,41.90%,579,7028,1.34,2.26,4.01,1364.02,4,8.24%,10085,26787,0.73,2.68,3.91,1549.29,3,37.65%,42,8239,2.28,2.62,3.71,7194.27,7,0.51%,20210,52678,0.72,2.36,3.96,2786.81,4,38.37%,4150,17204,0.99,2.55,4.46,3410.44,4,24.12%,21,19165,1.66,1.86,3.83,3173.34,5,0.11%
2022-08,271,5085,3.02,2.36,4.21,11479.1,11,5.34%,49,2894,1.78,1.79,3.94,1783.9,5,1.68%,34753,113581,1.12,2.18,4.09,9099.82,5,30.60%,10108,69987,2.05,2.34,4.18,7280.8,6,14.44%,1135,58913,3.17,2.11,4.15,17760.04,10,1.93%,12,1461,3.59,1.03,4.08,12370.23,15,0.85%,15709,104182,1.72,2.42,4.24,8657.59,6,15.08%,154,60851,1.42,2.33,4.49,4294.01,4,0.25%,3001,10337,1.27,2.39,3.95,7897.12,6,29.04%,9002,44283,1.38,2.17,3.99,3719.94,4,20.33%,2,1828,1.96,2.08,3.74,1982.56,8,0.11%,2822,12547,0.93,2.27,4.32,1355.04,4,22.49%,327,6706,1.54,2.65,4.3,1329.41,4,4.88%,11843,32373,0.69,2.71,4.26,1497.2,3,36.58%,40,11088,2.06,2.41,3.9,6566.81,6,0.36%,22040,55984,0.79,2.34,3.86,2615.13,4,39.37%,5082,23640,1.11,2.68,4.52,3472.07,4,21.50%,29,19510,2.03,1.67,4.19,3429.68,6,0.15%
2022-09,260,6800,2.98,1.94,4.09,11551.44,11,3.83%,11,3094,1.73,2.86,4.23,1921.36,4,0.34%,50922,149098,1.04,2.32,3.76,8711.48,5,34.15%,12646,79109,1.94,2.22,4.12,6450.39,6,15.99%,3189,70161,2.87,2.21,4.22,16828.77,10,4.55%,13,2659,2.93,0.97,3.66,10729.73,12,0.49%,18013,113169,1.72,2.26,4.14,8194.31,7,15.92%,55,41644,1.31,1.97,4.74,4346.76,4,0.13%,3944,12757,1.17,2.22,3.48,6146.38,5,30.92%,10231,61962,1.46,1.98,4.31,3274.34,4,16.51%,3,2132,1.85,0,3.79,1778.96,7,0.14%,3214,9803,0.9,2.1,4.09,1721.35,4,32.79%,811,8287,1.34,2.39,4.09,1202.04,3,9.78%,18441,42434,0.61,2.54,3.97,1343.95,3,43.46%,66,17421,2.01,2.35,3.91,5807.94,6,0.38%,29125,69758,0.73,2.41,3.83,2429.37,4,41.75%,5513,36539,1.03,2.59,4.51,3153.61,3,15.09%,26,20641,1.81,1.93,4.41,3405.53,5,0.12%
2022-10,297,8361,2.2,2.31,4.18,8845.21,12,3.55%,26,3068,1.59,1.81,3.85,2139.12,5,0.84%,65334,186840,0.89,2.18,4.04,7832.34,5,34.97%,18069,111606,1.61,2.42,3.87,5935.88,6,16.19%,2346,139751,2.01,2.1,4.28,14508.59,7,1.68%,29,5650,2.68,1.53,3.69,10437.58,13,0.50%,24445,144776,1.46,2.3,4.26,7487.33,6,16.88%,101,41329,1.16,2.79,4.41,4088.61,4,0.24%,4868,16062,1.11,2.08,3.61,5770.07,6,30.31%,12634,68971,1.25,1.89,4.24,2844.72,5,18.32%,4,2427,1.93,2.61,3.79,1781.05,7,0.16%,6201,13711,0.7,2.03,4.25,1641.41,4,45.23%,2676,9985,1.05,2.45,4.02,1448.61,5,26.80%,22331,65286,0.66,2.63,4.12,1698.42,3,34.21%,29,18164,1.95,2.48,3.95,6410.62,6,0.16%,35233,85416,0.66,2.4,3.91,2353.82,4,41.25%,9048,61783,0.88,2.51,4.33,2755.93,2,14.65%,35,25855,1.65,2.66,3.87,3194.89,5,0.14%
2022-11,200,14947,2.37,2.72,4.18,6225.13,13,1.34%,47,2418,1.61,2.32,4.16,1503.62,5,1.92%,57846,161818,1.14,2.26,3.77,9739.32,7,35.75%,16116,122975,1.85,2.36,3.77,6511.29,7,13.11%,1905,117386,2.56,2.3,4.18,15838.81,11,1.62%,33,6066,2.85,1.02,3.58,10553.19,15,0.54%,27250,163048,1.63,2.47,4.18,7780.99,7,16.71%,50,36522,1.34,2.73,4.44,3659.21,5,0.14%,4145,14294,1.33,2.31,3.59,6779.74,6,29.00%,8977,59316,1.31,2.05,4.29,3400.63,6,15.13%,0,2069,1.95,3.08,3.72,1856.82,7,0.00%,3045,11539,1.1,2.22,4.43,1455.27,5,26.39%,1359,9342,1.34,2.27,4.03,1679.48,5,14.55%,20791,62015,0.87,2.72,4.03,1769.78,4,33.53%,39,18049,2.14,2.32,3.91,6465.03,8,0.21%,28409,72100,0.82,2.4,4.04,2770.46,5,39.40%,8199,83638,1.06,2.63,4.3,2716.71,3,9.80%,19,24337,2,2.24,4.22,2768.13,7,0.08%
2022-12,189,17537,2.7,2.53,4.22,7128.66,13,1.08%,32,2058,1.93,2.38,4.28,1792.86,6,1.54%,52914,184340,1.32,2.2,4.14,9161.26,7,28.70%,12335,107243,2.29,2.45,3.89,7326.68,8,11.50%,1815,123789,2.92,2.11,4.26,18887.92,12,1.47%,22,7216,3.56,2.87,3.58,13239.94,15,0.31%,29122,170886,1.61,2.28,4.04,7057.62,7,17.04%,48,35383,1.6,2.74,4.31,4518.74,6,0.14%,4093,16117,1.34,2.19,3.6,7128.66,7,25.39%,7248,56384,1.61,1.99,4.09,4512.89,7,12.85%,2,2334,2.05,0,3.83,2549.17,8,0.09%,3226,11304,1.06,2.06,4.25,1626.91,5,28.54%,372,4867,1.73,2.61,4.39,1686.11,6,7.65%,12510,41922,0.91,2.65,4.17,1841.44,4,29.84%,53,18124,2.18,2.54,3.94,6609.29,8,0.29%,19940,57314,0.92,2.23,3.82,2917.39,5,34.79%,4766,23133,1.22,2.64,4.59,4077.03,5,20.60%,23,17828,2.36,2.51,4.39,4135.75,7,0.13%
2023-01,91,17486,2.65,2.86,4.43,6799.16,11,0.52%,36,1687,1.8,2.93,4.24,1531.04,5,2.11%,37139,139178,1.61,2.36,3.98,10938.64,7,26.68%,7848,89035,2.38,2.51,4.09,7784.81,8,8.82%,1644,131865,3.26,2.23,4.52,18411.17,10,1.25%,55,8302,3.37,1.03,3.67,14597.52,14,0.66%,21692,169964,1.8,2.49,4.16,7311.35,6,12.76%,24,13071,1.52,2.88,4.42,5812.21,6,0.19%,2760,10762,1.52,2.38,4.03,8260.52,6,25.65%,7530,56015,1.53,2.05,4.22,5024.19,6,13.44%,3,2333,2.2,2.06,3.93,3211.45,7,0.13%,3076,11281,0.94,2.06,4.56,1570.7,4,27.27%,294,5040,1.65,2.58,4.3,1420.93,5,5.83%,11414,40471,0.91,2.61,4.14,1683.2,4,28.20%,48,19323,2.35,1.96,4.24,8632.37,7,0.25%,17416,52716,0.89,2.46,4.02,3112.64,5,33.04%,6342,35153,1.08,2.75,4.52,3763.54,4,18.04%,25,18522,2.16,0,4.43,3418.92,5,0.14%
